dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.1.01.01.002			4030.19	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.002			200	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.001			34600.59	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001			625206.31	0	REGISTRO ASIENTO INICIAL 2026
1.1.03.11.001			81677.79	0	REGISTRO ASIENTO INICIAL 2026
1.1.03.07.001 			13574.1	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.007 			255	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.009			223.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.010			60	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.007 			110	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.008			70156.88	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.011 			438000	0	REGISTRO ASIENTO INICIAL 2026
1.2.04.01.009			15550	0	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.001 			216772.45	0	REGISTRO ASIENTO INICIAL 2026
3.1.06.01.001			7383684.9	0	REGISTRO ASIENTO INICIAL 2026
3.1.08.02.001 			2039371.56	0	REGISTRO ASIENTO INICIAL 2026
					
					
					
					
					
					
					
					
					
